Removed Pin From Net: NetName=GND Pin=R2-2
Change Component Footprint: Designator=U1 Old Footprint=LQFP-48 New Footprint=QFN50P400X400X95-21N
Change Component Comment : Designator=U1 Old Comment=STM32F303CBT6 New Comment=NRF24L01
Change Component Designator: OldDesignator=C1 NewDesignator=C6
Change Component Designator: OldDesignator=C2 NewDesignator=C11
Change Component Designator: OldDesignator=C3 NewDesignator=C12
Change Component Designator: OldDesignator=J1 NewDesignator=J2
Change Component Designator: OldDesignator=R1 NewDesignator=R2
Change Component Designator: OldDesignator=R2 NewDesignator=R1
Change component parameters: Designator = "U1" ("U1"); Footprint = "LQFP-48"; UniqueID = "\MYWVDDSC" ("\MYWVDDSC")
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "RNCS0603BKE10K0CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "±25ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±0.1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1M 0603"; VariantName = "[No Variations]"
Added Component: Designator=Y2(XTAL_ECS-160-20-4VX)
Add component (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "ECS Inc."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "ECS-160-20-4VX"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "HC49/US ECS International"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/ECS-160-20-4VX/ECS%20Inc./view-part/47293/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C1-1
Added Pin To Net: NetName=GND Pin=C2-1
Added Pin To Net: NetName=GND Pin=C3-1
Added Pin To Net: NetName=GND Pin=C5-2
Added Pin To Net: NetName=GND Pin=C7-1
Added Pin To Net: NetName=GND Pin=C8-1
Added Pin To Net: NetName=GND Pin=C9-1
Added Pin To Net: NetName=GND Pin=C10-1
Added Pin To Net: NetName=GND Pin=R3-1
Added Pin To Net: NetName=GND Pin=R4-1
Added Pin To Net: NetName=GND Pin=U1-8
Added Pin To Net: NetName=GND Pin=U1-14
Added Pin To Net: NetName=GND Pin=U1-17
Added Pin To Net: NetName=GND Pin=U1-20
Change Net Name : Old Net Name=NetC3_1 New Net Name=NetC12_1
Change Net Name : Old Net Name=NetJ1_2 New Net Name=NetJ2_2
Change Net Name : Old Net Name=NetJ1_3 New Net Name=NetJ2_3
Added Pin To Net: NetName=NetA1_S Pin=A1-S
Added Pin To Net: NetName=NetA1_S Pin=C4-1
Added Pin To Net: NetName=NetA1_S Pin=C5-1
Added Net: Name=NetA1_S
Added Pin To Net: NetName=NetC1_2 Pin=C1-2
Added Pin To Net: NetName=NetC1_2 Pin=U1-19
Added Net: Name=NetC1_2
Added Pin To Net: NetName=NetC2_2 Pin=C2-2
Added Pin To Net: NetName=NetC2_2 Pin=C3-2
Added Pin To Net: NetName=NetC2_2 Pin=L1-1
Added Pin To Net: NetName=NetC2_2 Pin=U1-11
Added Net: Name=NetC2_2
Added Pin To Net: NetName=NetC4_2 Pin=C4-2
Added Pin To Net: NetName=NetC4_2 Pin=L3-2
Added Net: Name=NetC4_2
Added Pin To Net: NetName=NetC7_2 Pin=C7-2
Added Pin To Net: NetName=NetC7_2 Pin=C8-2
Added Pin To Net: NetName=NetC7_2 Pin=C11-1
Added Pin To Net: NetName=NetC7_2 Pin=IC1-24
Added Pin To Net: NetName=NetC7_2 Pin=IC1-36
Added Pin To Net: NetName=NetC7_2 Pin=IC1-48
Added Pin To Net: NetName=NetC7_2 Pin=R1-2
Added Pin To Net: NetName=NetC7_2 Pin=U1-7
Added Pin To Net: NetName=NetC7_2 Pin=U1-15
Added Pin To Net: NetName=NetC7_2 Pin=U1-18
Added Pin To Net: NetName=NetC7_2 Pin=U2-5
Added Net: Name=NetC7_2
Added Pin To Net: NetName=NetC9_2 Pin=C9-2
Added Pin To Net: NetName=NetC9_2 Pin=R5-1
Added Pin To Net: NetName=NetC9_2 Pin=U1-10
Added Pin To Net: NetName=NetC9_2 Pin=Y2-1
Added Net: Name=NetC9_2
Added Pin To Net: NetName=NetC10_2 Pin=C10-2
Added Pin To Net: NetName=NetC10_2 Pin=R5-2
Added Pin To Net: NetName=NetC10_2 Pin=U1-9
Added Pin To Net: NetName=NetC10_2 Pin=Y2-2
Added Net: Name=NetC10_2
Added Pin To Net: NetName=NetIC1_5 Pin=IC1-5
Added Pin To Net: NetName=NetIC1_5 Pin=IC1-6
Added Pin To Net: NetName=NetIC1_5 Pin=Y1-1
Added Pin To Net: NetName=NetIC1_5 Pin=Y1-3
Added Net: Name=NetIC1_5
Added Pin To Net: NetName=NetIC1_7 Pin=IC1-7
Added Pin To Net: NetName=NetIC1_7 Pin=R1-1
Added Net: Name=NetIC1_7
Added Pin To Net: NetName=NetIC1_20 Pin=IC1-20
Added Pin To Net: NetName=NetIC1_20 Pin=R4-2
Added Net: Name=NetIC1_20
Added Pin To Net: NetName=NetIC1_34 Pin=IC1-34
Added Net: Name=NetIC1_34
Added Pin To Net: NetName=NetIC1_37 Pin=IC1-37
Added Net: Name=NetIC1_37
Added Pin To Net: NetName=NetIC1_44 Pin=IC1-44
Added Pin To Net: NetName=NetIC1_44 Pin=R2-2
Added Net: Name=NetIC1_44
Added Pin To Net: NetName=NetJ1_01 Pin=J1-01
Added Pin To Net: NetName=NetJ1_01 Pin=U1-6
Added Net: Name=NetJ1_01
Added Pin To Net: NetName=NetJ1_02 Pin=J1-02
Added Pin To Net: NetName=NetJ1_02 Pin=U1-5
Added Net: Name=NetJ1_02
Added Pin To Net: NetName=NetJ1_03 Pin=J1-03
Added Pin To Net: NetName=NetJ1_03 Pin=U1-4
Added Net: Name=NetJ1_03
Added Pin To Net: NetName=NetJ1_04 Pin=J1-04
Added Pin To Net: NetName=NetJ1_04 Pin=U1-3
Added Net: Name=NetJ1_04
Added Pin To Net: NetName=NetJ1_05 Pin=J1-05
Added Pin To Net: NetName=NetJ1_05 Pin=U1-2
Added Net: Name=NetJ1_05
Added Pin To Net: NetName=NetJ1_06 Pin=J1-06
Added Pin To Net: NetName=NetJ1_06 Pin=U1-1
Added Net: Name=NetJ1_06
Added Pin To Net: NetName=NetL1_2 Pin=L1-2
Added Pin To Net: NetName=NetL1_2 Pin=L2-1
Added Pin To Net: NetName=NetL1_2 Pin=U1-12
Added Net: Name=NetL1_2
Added Pin To Net: NetName=NetL2_2 Pin=L2-2
Added Pin To Net: NetName=NetL2_2 Pin=L3-1
Added Pin To Net: NetName=NetL2_2 Pin=U1-13
Added Net: Name=NetL2_2
Added Pin To Net: NetName=NetR3_2 Pin=R3-2
Added Pin To Net: NetName=NetR3_2 Pin=U1-16
Added Net: Name=NetR3_2
Added Member To Class: ClassName=USB_RF_Schematic Member=Component A1 0731000114
Added Member To Class: ClassName=USB_RF_Schematic Member=Component C4 1.5pF 0402
Added Member To Class: ClassName=USB_RF_Schematic Member=Component C5 1.0pF 0402
Added Member To Class: ClassName=USB_RF_Schematic Member=Component C6 100nF 0603
Added Member To Class: ClassName=USB_RF_Schematic Member=Component C7 10nF 0402
Added Member To Class: ClassName=USB_RF_Schematic Member=Component C8 1nF 0402
Added Member To Class: ClassName=USB_RF_Schematic Member=Component C9 22 pF 0402
Added Member To Class: ClassName=USB_RF_Schematic Member=Component C10 22 pF 0402
Added Member To Class: ClassName=USB_RF_Schematic Member=Component C11 2.2 µF 3216
Added Member To Class: ClassName=USB_RF_Schematic Member=Component C12 2.2uf
Added Member To Class: ClassName=USB_RF_Schematic Member=Component IC1 STM32F103CBT6
Added Member To Class: ClassName=USB_RF_Schematic Member=Component J2 USB 2.0 Type A
Added Member To Class: ClassName=USB_RF_Schematic Member=Component L1 2.7nH 0402
Added Member To Class: ClassName=USB_RF_Schematic Member=Component L2 8.2nH 0402
Added Member To Class: ClassName=USB_RF_Schematic Member=Component L3 3.9nH 0402
Added Member To Class: ClassName=USB_RF_Schematic Member=Component R3 22k 0402
Added Member To Class: ClassName=USB_RF_Schematic Member=Component R4 100k 0402
Added Member To Class: ClassName=USB_RF_Schematic Member=Component R5 1M 0603
Added Member To Class: ClassName=USB_RF_Schematic Member=Component Y2 16Mhz 49S
Added Room: Name=USB_RF_Schematic
